3 0 0 1 5 9 , 新 研 股 份
0 0 2 1 7 9 , 中 航 光 电
0 0 0 9 3 7 , 冀 中 能 源
0 0 2 1 7 7 , 御 银 股 份
6 0 0 5 4 3 , 莫 高 股 份
6 0 0 0 7 8 , 澄 星 股 份
0 0 0 0 0 3 , P T 金 田 A
0 0 2 7 3 7 , 葵 花 药 业
3 0 0 4 5 9 , 浙 江 金 科
6 0 0 3 9 7 , 安 源 煤 业
6 0 0 4 7 6 , 湘 邮 科 技
6 0 1 6 3 3 , 长 城 汽 车
6 0 0 6 1 7 , 国 新 能 源
6 0 0 1 6 9 , 太 原 重 工
6 0 0 7 5 1 , 天 津 海 运
2 0 0 5 5 0 , 江 铃 B
6 0 0 1 7 2 , 黄 河 旋 风
3 0 0 0 0 7 , 汉 威 电 子
6 0 0 5 9 8 , 北 大 荒
3 0 0 0 0 3 , 乐 普 医 疗
3 0 0 0 6 9 , 金 利 华 电
0 0 2 4 7 3 , 圣 莱 达
0 0 2 6 4 1 , 永 高 股 份
6 0 0 8 5 7 , 宁 波 中 百
3 0 0 2 6 3 , 隆 华 节 能
3 0 0 4 8 2 , 万 孚 生 物
6 0 0 6 3 2 , 华 联 商 厦
0 0 2 0 4 7 , 宝 鹰 股 份
0 0 2 3 3 1 , 皖 通 科 技
0 0 2 0 3 5 , 华 帝 股 份
0 0 0 9 0 9 , 数 源 科 技
0 0 0 0 0 2 , 万 科 A
6 0 0 0 5 7 , 象 屿 股 份
0 0 2 6 5 5 , 共 达 电 声
6 0 0 2 3 2 , 金 鹰 股 份
3 0 0 1 0 7 , 建 新 股 份
0 0 0 4 1 5 , 渤 海 租 赁
0 0 0 5 7 2 , 海 马 汽 车
6 0 0 7 3 7 , 中 粮 屯 河
0 0 0 7 1 2 , 锦 龙 股 份
6 0 0 0 0 4 , 白 云 机 场
3 0 0 2 2 6 , 上 海 钢 联
0 0 0 0 4 8 , 康 达 尔
0 0 0 9 2 2 , 佳 电 股 份
6 0 0 3 2 7 , 大 东 方
0 0 0 6 2 8 , 高 新 发 展
0 0 2 6 3 5 , 安 洁 科 技
3 0 0 0 3 9 , 上 海 凯 宝
6 0 0 0 1 9 , 宝 钢 股 份
2 0 0 0 3 7 , 深 南 电 B
6 0 1 1 6 6 , 兴 业 银 行
0 0 2 6 8 9 , 博 林 特
0 0 0 5 3 5 , * S T 猴 王
0 0 2 5 9 5 , 豪 迈 科 技
0 0 2 5 6 0 , 通 达 股 份
0 0 2 3 1 4 , 雅 致 股 份
0 0 2 3 8 4 , 东 山 精 密
0 0 2 1 4 6 , 荣 盛 发 展
3 0 0 2 5 0 , 初 灵 信 息
0 0 0 6 9 9 , S * S T 佳 纸
0 0 0 0 6 1 , 农 产 品
0 0 2 5 5 1 , 尚 荣 医 疗
0 0 2 3 6 6 , 丹 甫 股 份
6 0 0 7 9 8 , 宁 波 海 运
6 0 3 0 3 0 , 全 筑 股 份
0 0 0 5 2 7 , 美 的 电 器
0 0 0 5 9 9 , 青 岛 双 星
6 0 0 7 2 7 , 鲁 北 化 工
6 0 0 2 3 7 , 铜 峰 电 子
6 0 0 3 1 1 , 荣 华 实 业
3 0 0 0 3 0 , 阳 普 医 疗
3 0 0 3 7 4 , 恒 通 科 技
3 0 0 3 2 9 , 海 伦 钢 琴
3 0 0 2 4 3 , 瑞 丰 高 材
6 0 1 9 9 6 , 丰 林 集 团
6 0 0 5 6 2 , 国 睿 科 技
0 0 2 3 8 6 , 天 原 集 团
0 0 2 7 1 4 , 牧 原 股 份
0 0 0 8 9 2 , * S T 星 美
0 0 0 0 8 8 , 盐 田 港
6 0 3 6 8 6 , 龙 马 环 卫
6 0 0 1 7 3 , 卧 龙 地 产
0 0 0 8 6 2 , 银 星 能 源
3 0 0 1 1 8 , 东 方 日 升
3 0 0 2 6 6 , 兴 源 环 境
3 0 0 4 7 3 , 德 尔 股 份
0 0 0 5 1 5 , 攀 渝 钛 业
6 0 0 8 0 0 , 天 津 磁 卡
3 0 0 4 0 5 , 科 隆 精 化
0 0 2 5 8 2 , 好 想 你
0 0 0 0 7 8 , 海 王 生 物
3 0 0 0 1 4 , 亿 纬 锂 能
6 0 3 6 9 6 , 安 记 食 品
3 0 0 1 8 3 , 东 软 载 波
6 0 0 1 6 2 , 香 江 控 股
3 0 0 4 2 9 , 强 力 新 材
6 0 0 5 4 7 , 山 东 黄 金
6 0 0 7 9 6 , 钱 江 生 化
3 0 0 2 1 2 , 易 华 录
6 0 3 0 2 3 , 威 帝 股 份
0 0 0 9 9 1 , 通 海 高 科
6 0 0 3 8 9 , 江 山 股 份
0 0 2 3 1 6 , 键 桥 通 讯
6 0 0 8 5 5 , 航 天 长 峰
6 0 0 4 3 6 , 片 仔 癀
0 0 2 1 2 3 , 荣 信 股 份
6 0 0 4 8 5 , 信 威 集 团
6 0 0 6 4 5 , 中 源 协 和
0 0 2 1 6 8 , 深 圳 惠 程
6 0 3 0 7 7 , 和 邦 股 份
6 0 0 0 6 3 , 皖 维 高 新
0 0 2 7 5 0 , 龙 津 药 业
6 0 0 1 6 0 , 巨 化 股 份
3 0 0 3 2 3 , 华 灿 光 电
6 0 0 7 0 2 , 沱 牌 舍 得
0 0 2 6 1 7 , 露 笑 科 技
3 0 0 2 7 3 , 和 佳 股 份
0 0 2 2 1 5 , 诺 普 信
6 0 0 8 7 9 , 航 天 电 子
3 0 0 3 6 7 , 东 方 网 力
6 0 0 5 7 1 , 信 雅 达
6 0 0 1 5 7 , 永 泰 能 源
6 0 0 1 2 8 , 弘 业 股 份
6 0 1 5 8 8 , 北 辰 实 业
3 0 0 4 5 8 , 全 志 科 技
0 0 2 5 2 5 , 胜 景 山 河
6 0 0 6 6 5 , 天 地 源
6 0 1 0 0 7 , 金 陵 饭 店
6 0 0 1 9 0 , 锦 州 港
0 0 2 2 6 8 , 卫 士 通
0 0 0 0 4 2 , 中 洲 控 股
0 0 2 3 3 8 , 奥 普 光 电
6 0 0 2 8 1 , 太 化 股 份
0 0 2 2 3 2 , 启 明 信 息
0 0 2 7 0 3 , 浙 江 世 宝
6 0 0 7 8 1 , 辅 仁 药 业
6 0 0 9 6 9 , 郴 电 国 际
6 0 0 8 8 9 , 南 京 化 纤
0 0 0 5 7 0 , 苏 常 柴 A
6 0 0 2 7 8 , 东 方 创 业
0 0 2 0 2 9 , 七 匹 狼
0 0 0 6 5 5 , 金 岭 矿 业
6 0 0 8 4 1 , 上 柴 股 份
0 0 2 0 2 2 , 科 华 生 物
0 0 0 9 8 8 , 华 工 科 技
6 0 0 4 4 6 , 金 证 股 份
6 0 0 7 8 8 , * S T 达 曼
0 0 0 6 1 3 , 大 东 海 A
0 0 0 5 6 8 , 泸 州 老 窖
0 0 0 8 3 6 , 鑫 茂 科 技
0 0 2 3 1 7 , 众 生 药 业
3 0 0 3 0 5 , 裕 兴 股 份
6 0 0 6 3 7 , 东 方 明 珠
0 0 0 0 3 4 , 深 信 泰 丰
0 0 2 6 7 9 , 福 建 金 森
0 0 0 8 1 3 , 天 山 纺 织
0 0 0 0 0 5 , 世 纪 星 源
6 0 0 6 5 2 , 游 久 游 戏
0 0 2 6 5 8 , 雪 迪 龙
0 0 0 5 3 4 , 万 泽 股 份
6 0 3 0 2 2 , 新 通 联
0 0 2 7 2 7 , 一 心 堂
6 0 0 7 6 7 , 运 盛 医 疗
0 0 0 8 0 7 , 云 铝 股 份
0 0 2 0 6 0 , 粤 水 电
0 0 0 9 5 3 , 河 池 化 工
6 0 3 6 1 1 , 诺 力 股 份
0 0 0 1 5 5 , * S T 川 化
0 0 2 4 6 0 , 赣 锋 锂 业
6 0 0 0 1 1 , 华 能 国 际
0 0 2 4 2 0 , 毅 昌 股 份
6 0 0 1 5 1 , 航 天 机 电
0 0 2 3 4 1 , 新 纶 科 技
6 0 0 3 7 1 , 万 向 德 农
3 0 0 3 3 4 , 津 膜 科 技
3 0 0 0 9 9 , 尤 洛 卡
3 0 0 4 4 1 , 鲍 斯 股 份
0 0 0 8 3 9 , 中 信 国 安
0 0 2 2 0 3 , 海 亮 股 份
6 0 0 2 3 4 , 山 水 文 化
6 0 0 6 6 7 , 太 极 实 业
6 0 0 0 0 1 , 邯 郸 钢 铁
0 0 2 2 4 5 , 澳 洋 顺 昌
0 0 0 7 3 8 , 中 航 动 控
2 0 0 6 1 3 , 大 东 海 B
0 0 2 3 1 5 , 焦 点 科 技
0 0 2 6 7 0 , 华 声 股 份
3 0 0 3 3 5 , 迪 森 股 份
0 0 2 2 7 6 , 万 马 股 份
3 0 0 4 6 5 , 高 伟 达
0 0 0 0 2 4 , 招 商 地 产
6 0 0 2 7 2 , 开 开 实 业
6 0 0 2 3 8 , 海 南 椰 岛
0 0 2 4 8 2 , 广 田 股 份
3 0 0 4 7 6 , 胜 宏 科 技
0 0 2 4 5 7 , 青 龙 管 业
6 0 0 0 5 2 , 浙 江 广 厦
6 0 3 6 6 9 , 灵 康 药 业
0 0 2 5 9 8 , 山 东 章 鼓
6 0 1 9 2 9 , 吉 视 传 媒
3 0 0 2 8 9 , 利 德 曼
6 0 0 7 4 8 , 上 实 发 展
0 0 0 7 5 5 , 山 西 三 维
0 0 2 5 1 0 , 天 汽 模
0 0 0 7 3 1 , 四 川 美 丰
6 0 0 3 3 3 , 长 春 燃 气
0 0 2 2 6 9 , 美 邦 服 饰
0 0 2 3 2 8 , 新 朋 股 份
6 0 0 7 8 6 , 东 方 锅 炉
0 0 2 0 6 6 , 瑞 泰 科 技
0 0 0 5 8 2 , 北 部 湾 港
6 0 3 6 8 8 , 石 英 股 份
0 0 0 5 5 9 , 万 向 钱 潮
0 0 2 2 3 0 , 科 大 讯 飞
3 0 0 0 2 7 , 华 谊 兄 弟
0 0 2 3 7 2 , 伟 星 新 材
0 0 0 0 6 8 , * S T 华 赛
0 0 2 1 6 9 , 智 光 电 气
3 0 0 1 2 6 , 锐 奇 股 份
0 0 2 0 9 6 , 南 岭 民 爆
6 0 0 1 3 5 , 乐 凯 胶 片
3 0 0 4 5 0 , 先 导 股 份
0 0 0 8 7 8 , 云 南 铜 业
0 0 0 4 0 0 , 许 继 电 气
0 0 0 6 7 5 , S T 银 山
0 0 2 4 9 1 , 通 鼎 互 联
6 0 0 3 1 9 , 亚 星 化 学
6 0 3 9 9 8 , 方 盛 制 药
0 0 0 5 5 7 , * S T 广 夏
0 0 0 5 7 1 , 新 大 洲 A
3 0 0 0 6 7 , 安 诺 其
0 0 2 2 3 9 , 金 飞 达
3 0 0 2 8 4 , 苏 交 科
6 0 0 8 4 0 , 新 湖 创 业
6 0 3 9 9 7 , 继 峰 股 份
6 0 0 7 6 4 , 中 电 广 通
0 0 0 8 0 9 , 铁 岭 新 城
0 0 2 3 2 0 , 海 峡 股 份
0 0 2 2 7 2 , 川 润 股 份
0 0 0 6 0 9 , 绵 世 股 份
6 0 0 0 9 6 , 云 天 化
0 0 2 0 6 1 , 江 山 化 工
0 0 0 0 1 1 , 深 物 业 A
0 0 2 1 8 3 , 怡 亚 通
6 0 0 6 4 7 , 同 达 创 业
6 0 0 8 4 2 , 中 西 药 业
0 0 2 4 8 0 , 新 筑 股 份
0 0 0 5 4 0 , 中 天 城 投
0 0 2 6 0 3 , 以 岭 药 业
0 0 2 3 6 5 , 永 安 药 业
3 0 0 4 3 4 , 金 石 东 方
3 0 0 3 1 6 , 晶 盛 机 电
6 0 1 6 8 8 , 华 泰 证 券
0 0 0 5 2 4 , 东 方 宾 馆
0 0 2 2 9 2 , 奥 飞 动 漫
6 0 0 2 9 1 , 西 水 股 份
6 0 0 9 9 2 , 贵 绳 股 份
6 0 0 6 7 6 , 交 运 股 份
0 0 0 8 8 2 , 华 联 股 份
0 0 2 7 5 6 , 永 兴 特 钢
6 0 0 7 8 7 , 中 储 股 份
6 0 0 7 1 8 , 东 软 集 团
0 0 2 0 9 1 , 江 苏 国 泰
3 0 0 2 4 6 , 宝 莱 特
0 0 2 7 1 1 , 欧 浦 钢 网
0 0 2 5 2 4 , 光 正 集 团
0 0 2 6 5 3 , 海 思 科
6 0 3 9 6 8 , 醋 化 股 份
0 0 0 8 2 8 , 东 莞 控 股
6 0 0 8 7 4 , 创 业 环 保
6 0 0 5 2 5 , 长 园 集 团
6 0 0 3 2 5 , 华 发 股 份
0 0 0 8 3 8 , 国 兴 地 产
3 0 0 4 2 4 , 航 新 科 技
0 0 2 3 3 0 , 得 利 斯
0 3 1 0 0 5 , 国 安 G A C 1
3 0 0 1 1 0 , 华 仁 药 业
0 0 2 2 0 5 , 国 统 股 份
3 0 0 2 1 4 , 日 科 化 学
6 0 0 6 0 0 , 青 岛 啤 酒
6 0 0 6 8 1 , 万 鸿 集 团
0 0 2 3 5 5 , 兴 民 钢 圈
6 0 3 2 2 7 , 雪 峰 科 技
0 0 0 6 2 1 , * S T 比 特
0 0 0 0 3 9 , 中 集 集 团
0 0 2 0 6 7 , 景 兴 纸 业
6 0 1 1 3 9 , 深 圳 燃 气
6 0 0 9 6 3 , 岳 阳 林 纸
0 0 0 0 4 3 , 中 航 地 产
6 0 0 1 0 5 , 永 鼎 股 份
6 0 0 7 8 5 , 新 华 百 货
0 0 0 6 1 2 , 焦 作 万 方
3 0 0 3 3 9 , 润 和 软 件
6 0 0 9 5 8 , 东 方 证 券
0 0 2 7 0 6 , 良 信 电 器
6 0 0 2 9 0 , 华 仪 电 气
0 0 2 0 0 8 , 大 族 激 光
0 0 0 3 3 3 , 美 的 集 团
0 0 2 4 4 3 , 金 洲 管 道
0 0 0 7 6 7 , 漳 泽 电 力
3 0 0 4 8 6 , 东 杰 智 能
3 0 0 3 8 5 , 雪 浪 环 境
6 0 0 7 7 5 , 南 京 熊 猫
6 0 0 6 2 3 , 双 钱 股 份
0 0 0 6 3 6 , 风 华 高 科
6 0 0 5 2 3 , 贵 航 股 份
6 0 1 8 7 7 , 正 泰 电 器
0 0 2 2 4 2 , 九 阳 股 份
6 0 0 2 7 7 , 亿 利 能 源
6 0 1 0 0 1 , 大 同 煤 业
2 0 0 0 1 1 , 深 物 业 B
6 0 0 4 8 9 , 中 金 黄 金
2 0 0 0 4 5 , 深 纺 织 B
3 0 0 4 1 1 , 金 盾 股 份
0 0 2 2 1 7 , 合 力 泰
0 0 2 5 9 9 , 盛 通 股 份
6 0 0 0 1 2 , 皖 通 高 速
0 0 0 0 9 0 , 天 健 集 团
6 0 0 2 5 2 , X D 中 恒 集
0 0 2 1 1 0 , 三 钢 闽 光
3 0 0 3 0 0 , 汉 鼎 股 份
6 0 0 7 5 7 , 长 江 传 媒
6 0 0 5 8 6 , 金 晶 科 技
6 0 0 0 9 2 , S * S T 精 密
0 0 0 6 9 7 , 炼 石 有 色
0 0 0 7 0 7 , 双 环 科 技
3 0 0 3 7 3 , 扬 杰 科 技
0 0 0 6 0 8 , 阳 光 股 份
6 0 3 3 6 9 , 今 世 缘
6 0 0 5 8 0 , 卧 龙 电 气
0 0 2 4 5 3 , 天 马 精 化
0 0 2 3 8 1 , 双 箭 股 份
0 0 0 7 0 1 , 厦 门 信 达
6 0 0 0 1 5 , 华 夏 银 行
6 0 0 1 7 9 , 黑 化 股 份
6 0 0 9 6 0 , 渤 海 活 塞
6 0 3 7 7 8 , 乾 景 园 林
6 0 1 6 3 6 , 旗 滨 集 团
6 0 0 3 9 1 , 成 发 科 技
6 0 0 6 6 2 , 强 生 控 股
0 0 0 8 3 0 , 鲁 西 化 工
0 0 2 6 1 5 , 哈 尔 斯
0 0 2 6 6 3 , 普 邦 园 林
0 0 0 8 2 5 , 太 钢 不 锈
0 0 2 6 4 8 , 卫 星 石 化
6 0 0 8 7 7 , 中 国 嘉 陵
3 0 0 4 7 1 , 厚 普 股 份
0 0 2 7 4 0 , 爱 迪 尔
6 0 0 9 1 7 , 重 庆 燃 气
0 0 2 5 1 3 , 蓝 丰 生 化
0 0 2 3 4 4 , 海 宁 皮 城
6 0 0 6 7 5 , 中 华 企 业
0 0 0 5 0 2 , 绿 景 控 股
6 0 0 0 2 2 , 山 东 钢 铁
0 0 2 0 5 5 , 得 润 电 子
6 0 0 2 4 1 , 时 代 万 恒
0 0 2 5 2 0 , 日 发 精 机
3 0 0 2 8 0 , 南 通 锻 压
6 0 0 1 2 0 , 浙 江 东 方
6 0 1 2 6 8 , * S T 二 重
0 0 2 0 5 1 , 中 工 国 际
3 0 0 2 3 7 , 美 晨 科 技
0 0 0 8 0 1 , 四 川 九 洲
0 0 2 5 0 0 , 山 西 证 券
0 0 2 0 0 1 , 新 和 成
3 0 0 0 7 8 , 中 瑞 思 创
6 0 0 3 3 7 , 美 克 家 居
0 0 2 6 9 8 , 博 实 股 份
3 0 0 2 7 5 , 梅 安 森
6 0 0 2 1 7 , * S T 秦 岭
0 0 2 1 1 3 , 天 润 控 股
6 0 0 8 2 2 , 上 海 物 贸
0 0 0 8 8 6 , 海 南 高 速
0 0 0 8 5 9 , 国 风 塑 业
0 0 0 7 3 9 , 普 洛 药 业
0 0 0 8 3 2 , * S T 龙 涤
0 0 0 8 4 8 , 承 德 露 露
6 0 0 8 3 4 , 申 通 地 铁
0 0 2 7 5 7 , 南 兴 装 备
0 0 2 0 0 6 , 精 功 科 技
6 0 0 6 5 4 , 中 安 消
3 0 0 1 7 6 , 鸿 特 精 密
0 0 2 3 4 6 , 柘 中 股 份
3 0 0 2 3 0 , 永 利 带 业
6 0 0 4 3 2 , 吉 恩 镍 业
2 0 0 1 6 8 , 雷 伊 B
0 0 0 6 6 1 , 长 春 高 新
3 0 0 2 9 0 , 荣 科 科 技
0 0 0 3 3 8 , 潍 柴 动 力
6 0 0 6 6 0 , 福 耀 玻 璃
0 0 2 3 6 9 , 卓 翼 科 技
6 0 0 4 2 1 , 仰 帆 控 股
6 0 0 6 1 1 , 大 众 交 通
2 0 0 0 2 8 , 一 致 B
6 0 0 4 8 1 , 双 良 节 能
6 0 0 7 4 5 , 中 茵 股 份
6 0 0 6 6 9 , * S T 鞍 成
0 0 2 3 2 5 , 洪 涛 股 份
3 0 0 0 0 6 , 莱 美 药 业
6 0 0 2 2 9 , 青 岛 碱 业
6 0 0 6 0 1 , 方 正 科 技
0 0 2 1 9 4 , 武 汉 凡 谷
6 0 3 1 9 9 , 九 华 旅 游
6 0 0 5 5 8 , 大 西 洋
0 0 2 3 9 8 , 建 研 集 团
6 0 0 4 4 9 , 宁 夏 建 材
0 0 0 9 8 2 , 中 银 绒 业
6 0 0 0 5 9 , 古 越 龙 山
0 0 0 9 8 0 , 金 马 股 份
6 0 1 9 1 8 , 国 投 新 集
3 0 0 3 1 8 , 博 晖 创 新
6 0 0 1 8 3 , 生 益 科 技
6 0 0 0 7 0 , 浙 江 富 润
6 0 0 6 3 6 , 三 爱 富
3 0 0 0 7 9 , 数 码 视 讯
0 0 2 0 9 2 , 中 泰 化 学
0 0 2 2 1 8 , 拓 日 新 能
3 0 0 4 4 2 , 普 丽 盛
6 0 0 3 9 8 , 海 澜 之 家
6 0 0 8 5 9 , 王 府 井
6 0 1 2 1 6 , 内 蒙 君 正
6 0 1 1 1 6 , 三 江 购 物
0 0 2 7 2 6 , 龙 大 肉 食
0 0 2 2 7 5 , 桂 林 三 金
6 0 0 4 7 0 , 六 国 化 工
0 0 2 3 1 1 , 海 大 集 团
0 0 2 3 9 3 , 力 生 制 药
6 0 0 8 7 0 , * S T 厦 华
0 0 2 0 7 9 , 苏 州 固 锝
3 0 0 2 9 8 , 三 诺 生 物
6 0 0 7 0 0 , * S T 数 码
6 0 0 9 7 5 , 新 五 丰
6 0 0 4 1 8 , 江 淮 汽 车
6 0 0 5 5 3 , 太 行 水 泥
0 0 0 7 8 9 , 万 年 青
6 0 0 2 8 8 , 大 恒 科 技
0 0 2 5 7 1 , 德 力 股 份
3 0 0 4 4 8 , 浩 云 科 技
0 0 2 7 2 5 , 跃 岭 股 份
0 0 0 5 4 2 , T C L 通 讯
0 0 2 0 3 1 , 巨 轮 股 份
6 0 1 7 8 9 , 宁 波 建 工
0 0 2 2 1 3 , 特 尔 佳
3 0 0 3 5 7 , 我 武 生 物
6 0 0 5 9 5 , 中 孚 实 业
0 0 2 5 7 8 , 闽 发 铝 业
6 0 1 0 1 5 , 陕 西 黑 猫
6 0 0 5 0 2 , 安 徽 水 利
0 0 2 4 3 3 , 太 安 堂
6 0 0 7 1 9 , 大 连 热 电
6 0 3 7 2 9 , 龙 韵 股 份
6 0 0 3 1 6 , 洪 都 航 空
0 0 2 5 8 5 , 双 星 新 材
0 0 2 6 8 5 , 华 东 重 机
3 0 0 0 5 2 , 中 青 宝
6 0 0 0 7 7 , 宋 都 股 份
0 0 0 7 2 3 , 美 锦 能 源
0 0 2 6 7 4 , 兴 业 科 技
6 0 0 7 2 2 , * S T 金 化
0 0 2 5 0 9 , 天 广 消 防
0 0 0 5 4 4 , 中 原 环 保
3 0 0 2 8 7 , 飞 利 信
6 0 0 7 9 0 , 轻 纺 城
3 0 0 4 7 8 , 杭 州 高 新
6 0 0 1 2 7 , 金 健 米 业
0 0 0 6 0 0 , 建 投 能 源
0 0 0 5 8 1 , 威 孚 高 科
0 0 0 7 1 9 , 大 地 传 媒
0 0 2 1 9 7 , 证 通 电 子
6 0 0 3 6 3 , 联 创 光 电
0 0 2 6 8 6 , 亿 利 达
0 0 0 6 6 7 , 美 好 集 团
6 0 3 9 6 9 , 银 龙 股 份
0 0 0 0 6 3 , 中 兴 通 讯
0 0 0 6 3 9 , 西 王 食 品
6 0 0 3 7 7 , 宁 沪 高 速
6 0 0 5 3 6 , 中 国 软 件
6 0 0 4 6 2 , 石 岘 纸 业
0 0 2 7 7 7 , 久 远 银 海
3 0 0 0 0 4 , 南 风 股 份
6 0 0 8 9 6 , 中 海 海 盛
2 0 0 0 3 9 , 中 集 B
6 0 0 3 8 8 , 龙 净 环 保
6 0 1 1 8 6 , 中 国 铁 建
6 0 0 4 2 0 , 现 代 制 药
3 0 0 0 7 0 , 碧 水 源
6 0 0 9 7 6 , 健 民 集 团
0 0 0 4 1 2 , S T 五 环
0 0 2 4 7 5 , 立 讯 精 密
6 0 0 2 1 2 , 江 泉 实 业
0 0 2 0 3 4 , 美 欣 达
6 0 1 0 9 9 , 太 平 洋
6 0 1 0 0 0 , 唐 山 港
